n,algorithm,array_type,time_us,ops
100,selection,random,121.03613333333355,6126.0
200,selection,random,442.0305666666735,22430.0
300,selection,random,1058.940266666671,48910.0
400,selection,random,1935.349999999995,85616.0
500,selection,random,3055.1597333333384,132212.0
600,selection,random,4392.056966666669,188720.0
700,selection,random,5963.866666666662,255762.0
800,selection,random,7689.766666666668,331680.0
900,selection,random,9904.002766666676,418300.0
1000,selection,random,12188.88196666666,515210.0
1100,selection,random,14663.59719999999,622266.0
1200,selection,random,17706.084700000007,738886.0
1300,selection,random,20598.772233333337,865916.0
1400,selection,random,24183.511133333337,1002772.0
1500,selection,random,27814.851400000003,1149744.0
1600,selection,random,31310.670833333337,1306424.0
1700,selection,random,35669.68749999999,1472950.0
1800,selection,random,39684.76666666666,1649336.0
1900,selection,random,44426.258333333324,1836010.0
2000,selection,random,49290.76386666668,2033324.0
100,bubble,random,235.21943333329648,16490.0
200,bubble,random,959.9166666666529,66958.0
300,bubble,random,2064.674999999975,146768.0
400,bubble,random,3997.213899999963,277213.0
500,bubble,random,6502.60833333333,436875.0
600,bubble,random,9532.39443333332,629115.0
700,bubble,random,12890.29863333333,839595.0
800,bubble,random,17100.069466666668,1090360.0
900,bubble,random,21670.13750000001,1364636.0
1000,bubble,random,27051.07220000003,1706911.0
1100,bubble,random,33003.12223333327,2064796.0
1200,bubble,random,40752.55973333327,2460610.0
1300,bubble,random,51182.87363333328,2927716.0
1400,bubble,random,55083.73193333327,3403555.0
1500,bubble,random,63117.43749999993,3914175.0
1600,bubble,random,71664.44723333333,4441398.0
1700,bubble,random,81009.3472333334,5000760.0
1800,bubble,random,90563.6180333334,5587821.0
1900,bubble,random,101315.91530000002,6198920.0
2000,bubble,random,112496.61806666656,6884918.0
100,insertion,random,116.19583333318435,12204.0
200,insertion,random,429.769433333386,47874.0
300,insertion,random,941.2805666665728,104484.0
400,insertion,random,1861.8360999999102,199154.0
500,insertion,random,3004.0194333333643,314204.0
600,insertion,random,4415.297199999913,452209.0
700,insertion,random,5914.6764,598139.0
800,insertion,random,7725.118066666662,774509.0
900,insertion,random,9763.090300000005,966449.0
1000,insertion,random,12336.650000000067,1212219.0
1100,insertion,random,14944.072200000135,1466009.0
1200,insertion,random,18014.876399999954,1746404.0
1300,insertion,random,21446.82083333317,2089829.0
1400,insertion,random,24977.477766666805,2432054.0
1500,insertion,random,28771.094433333386,2796264.0
1600,insertion,random,32452.81526666659,3169489.0
1700,insertion,random,36518.18193333322,3565109.0
1800,insertion,random,41178.12083333329,3977184.0
1900,insertion,random,45724.28333333321,4403889.0
2000,insertion,random,50824.40140000012,4895559.0
100,counting,random,174.7166666665597,12903.0
200,counting,random,179.10833333327028,13803.0
300,counting,random,193.79583333337297,14703.0
400,counting,random,195.15973333336473,15603.0
500,counting,random,210.06526666672204,16503.0
600,counting,random,221.36389999995268,17403.0
700,counting,random,233.30000000001405,18303.0
800,counting,random,241.6986333332242,19203.0
900,counting,random,250.31943333336434,20103.0
1000,counting,random,258.0333333334295,21003.0
1100,counting,random,265.12223333341467,21903.0
1200,counting,random,273.6013999999898,22803.0
1300,counting,random,286.34443333335946,23703.0
1400,counting,random,291.43473333329933,24603.0
1500,counting,random,300.32500000013823,25503.0
1600,counting,random,315.7375000000684,26403.0
1700,counting,random,322.8888666666781,27303.0
1800,counting,random,332.51806666664646,28203.0
1900,counting,random,341.39583333328005,29103.0
2000,counting,random,359.34863333319333,30003.0
100,merge,random,101.28333333341288,3638.0
200,merge,random,178.4541666665973,8268.0
300,merge,random,278.88196666670717,13183.0
400,merge,random,400.2861333333385,18463.0
500,merge,random,516.6124999999984,23768.0
600,merge,random,636.4221999999605,29288.0
700,merge,random,773.4847000001821,35068.0
800,merge,random,924.1597333333591,40818.0
900,merge,random,987.9930333333675,46643.0
1000,merge,random,1121.6944333331944,52468.0
1100,merge,random,1262.2569333333424,58483.0
1200,merge,random,1389.650000000131,64553.0
1300,merge,random,1532.100000000014,70698.0
1400,merge,random,1678.7263666666754,77128.0
1500,merge,random,1823.2750000000428,83208.0
1600,merge,random,1935.962499999988,89753.0
1700,merge,random,2038.1541666668097,95963.0
1800,merge,random,2167.3124999999513,102453.0
1900,merge,random,2374.813900000087,108918.0
2000,merge,random,2427.8221999999514,115053.0
100,quick,random,46.27083333327656,2625.0
200,quick,random,99.88333333339483,5801.0
300,quick,random,166.49166666672008,9841.0
400,quick,random,222.52360000010185,12709.0
500,quick,random,287.99026666680066,16655.0
600,quick,random,353.4069333333889,19537.0
700,quick,random,432.97916666655095,24623.0
800,quick,random,502.4861000000176,28215.0
900,quick,random,586.9861333332931,33093.0
1000,quick,random,651.3916666667303,36585.0
1100,quick,random,729.433333333181,41569.0
1200,quick,random,811.7291666666896,46523.0
1300,quick,random,877.4194333334151,49837.0
1400,quick,random,933.7346999998886,54069.0
1500,quick,random,1015.3041666666714,57077.0
1600,quick,random,1089.1958333334153,61441.0
1700,quick,random,1152.5347333332547,64281.0
1800,quick,random,1248.3277666665533,69683.0
1900,quick,random,1378.4347333334779,76509.0
2000,quick,random,1830.1958333331925,79895.0
100,heap,random,106.75276666679186,5075.0
200,heap,random,219.67083333317797,12000.0
300,heap,random,350.5416666667334,19443.0
400,heap,random,504.48473333328064,27636.0
500,heap,random,646.9583333334583,35858.0
600,heap,random,799.81250000003,44422.0
700,heap,random,980.6888666666681,53442.0
800,heap,random,1148.5735999999729,62781.0
900,heap,random,1296.211100000022,72094.0
1000,heap,random,1481.4916666665567,81181.0
1100,heap,random,1659.4444666665709,90867.0
1200,heap,random,1844.7444666667443,100397.0
1300,heap,random,2020.3861333333368,110098.0
1400,heap,random,2196.270833333358,120273.0
1500,heap,random,2382.159733333348,130074.0
1600,heap,random,2559.8027666667635,139652.0
1700,heap,random,2747.7264000000428,149906.0
1800,heap,random,2901.8305666667743,160475.0
1900,heap,random,3098.434733333259,170447.0
2000,heap,random,3318.112500000107,181184.0
100,shell,random,39.475000000048034,3502.0
200,shell,random,91.90280000008026,8302.0
300,shell,random,159.40140000007355,13938.0
400,shell,random,236.46943333351564,19689.0
500,shell,random,321.93193333327486,25605.0
600,shell,random,410.17499999990525,31881.0
700,shell,random,511.4041666665515,39033.0
800,shell,random,612.5360999999903,46252.0
900,shell,random,718.0583333332416,53700.0
1000,shell,random,823.6833333332545,60712.0
1100,shell,random,924.3611333334437,67648.0
1200,shell,random,1002.468066666514,74536.0
